class_id,class_name,test,train,valid,total
3,capacitor,1337.0,7775.0,1519.0,10631.0
17,resistor,1300.0,7135.0,1614.0,10049.0
10,ic,515.0,2222.0,565.0,3302.0
5,connector,228.0,889.0,194.0,1311.0
12,led,113.0,549.0,114.0,776.0
21,transistor,77.0,572.0,111.0,760.0
6,diode,91.0,552.0,103.0,746.0
18,switch,53.0,283.0,48.0,384.0
13,pads,43.0,186.0,103.0,332.0
11,inductor,57.0,213.0,55.0,325.0
14,pins,14.0,261.0,42.0,317.0
8,fuse,20.0,111.0,22.0,153.0
4,clock,16.0,89.0,17.0,122.0
7,display,14.0,63.0,9.0,86.0
1,button,18.0,56.0,11.0,85.0
16,relay,10.0,66.0,8.0,84.0
15,potentiometer,12.0,50.0,20.0,82.0
2,buzzer,8.0,45.0,7.0,60.0
0,battery,8.0,42.0,4.0,54.0
9,heatsink,0.0,4.0,0.0,4.0
19,transducer,4.0,0.0,0.0,4.0
20,transformer,0.0,2.0,0.0,2.0
